timestamp_derived,log_record_type,request_id,organization_id,organization_name,organization_status,organization_edition,organization_country_code,organization_language_locale,organization_time_zone,organization_instance,organization_type,cloned_from_organization_id,user_id_token,user_type,url,package_id,package_version_id,managed_package_namespace,custom_entity,custom_entity_type,operation_type,operation_count,request_status,referrer_uri,session_key,login_key,user_agent,user_country_code,user_time_zone,api_type,api_version,rows_processed,request_size,response_size,http_method,http_status_code,num_fields,run_time,cpu_time,db_total_time,db_blocks,db_cpu_time,visualforce_page_exec_time,app_name,page_app_name,page_context,ui_event_source,ui_event_type,ui_event_sequence_num,target_ui_element,parent_ui_element,page_url,prevpage_url,class_name,method_name,event,event_subscriber,event_count,apex_exec_time,apex_callout_time,entry_point,quiddity,num_soql_queries,stack_trace,bulk_job_id,bulk_batch_id,bulk_operation
2021-11-16T22:58:26.057Z,LightningPageView,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1r000001msge,tagitapp,tagitapp:tagIt,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,,,3,,,/lightning/r/Account/001B000001NnfQlIAJ/view,/lightning/o/Account/home,,,,,,,,,,,,,,
2021-11-16T22:58:26.017Z,LightningInteraction,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1r000001msge,tagitapp,tagitapp:pageTrackerCmp,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,componentTracker,system,28,default,component,/lightning/r/Account/001B000001NnfQlIAJ/view,,,,,,,,,,,,,,,
2021-11-16T22:58:26.057Z,LightningPageView,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1R000001MSgE,tagitapp,tagitapp:pageTrackerCmp,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,,,3,,,/lightning/r/Account/001B000001NnfQlIAJ/view,/lightning/o/Account/home,,,,,,,,,,,,,,
2021-11-16T22:58:26.057Z,LightningPageView,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1r000001msge,tagitapp,tagitapp:pageTrackerCmp,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,,,3,,,/lightning/r/Account/001B000001NnfQlIAJ/view,/lightning/o/Account/home,,,,,,,,,,,,,,
2021-11-16T22:58:26.057Z,LightningPageView,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1R000001MSgE,tagitapp,tagitapp:pageTrackerCmp,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,,,3,,,/lightning/r/Account/001B000001NnfQlIAJ/view,/lightning/o/Account/home,,,,,,,,,,,,,,
2021-11-16T22:58:26.057Z,LightningPageView,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1r000001msge,tagitapp,tagitapp:pageTrackerCmp,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,,,3,,,/lightning/r/Account/001B000001NnfQlIAJ/view,/lightning/o/Account/home,,,,,,,,,,,,,,
2021-11-16T22:58:26.017Z,LightningInteraction,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1R000001MSgE,tagitapp,tagitapp:pageBreakerCmp,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,componentTracker,system,28,default,component,/lightning/r/Account/001B000001NnfQlIAJ/view,,,,,,,,,,,,,,,
2021-11-16T22:58:26.017Z,LightningInteraction,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1r000001msge,tagitapp,tagitapp:pageBreakerCmp,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,componentTracker,system,28,default,component,/lightning/r/Account/001B000001NnfQlIAJ/view,,,,,,,,,,,,,,,
2021-11-16T22:58:26.057Z,LightningPageView,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1R000001MSgE,tagitapp,tagitapp:pageBreakerCmp,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,,,3,,,/lightning/r/Account/001B000001NnfQlIAJ/view,/lightning/o/Account/home,,,,,,,,,,,,,,
2021-11-16T22:58:26.057Z,LightningPageView,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1r000001msge,tagitapp,tagitapp:pageBreakerCmp,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,,,3,,,/lightning/r/Account/001B000001NnfQlIAJ/view,/lightning/o/Account/home,,,,,,,,,,,,,,
2021-11-16T22:58:26.057Z,LightningPageView,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1R000001MSgE,tagitapp,tagitapp:pageBreakerCmp,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,,,3,,,/lightning/r/Account/001B000001NnfQlIAJ/view,/lightning/o/Account/home,,,,,,,,,,,,,,
2021-11-16T22:58:26.057Z,LightningPageView,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1r000001msge,tagitapp,tagitapp:pageBreakerCmp,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,,,3,,,/lightning/r/Account/001B000001NnfQlIAJ/view,/lightning/o/Account/home,,,,,,,,,,,,,,
2021-11-16T22:58:26.057Z,LightningPageView,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1R000001MSgE,tagitapp,tagitapp:tagIt,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,,,3,,,/lightning/r/Account/001B000001NnfQlIAJ/view,/lightning/o/Account/home,,,,,,,,,,,,,,
2021-11-16T22:58:26.057Z,LightningPageView,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1r000001msge,tagitapp,tagitapp:tagIt,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,,,3,,,/lightning/r/Account/001B000001NnfQlIAJ/view,/lightning/o/Account/home,,,,,,,,,,,,,,
2021-11-16T22:58:26.057Z,LightningPageView,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1R000001MSgE,tagitapp,tagitapp:tagIt,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,,,3,,,/lightning/r/Account/001B000001NnfQlIAJ/view,/lightning/o/Account/home,,,,,,,,,,,,,,
2021-11-16T22:58:26.017Z,LightningInteraction,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1r000001msge,tagitapp,tagitapp:tagIt,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,componentTracker,system,28,default,component,/lightning/r/Account/001B000001NnfQlIAJ/view,,,,,,,,,,,,,,,
2021-11-16T22:58:26.017Z,LightningInteraction,TID:100060900004c8bce7,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1R000001MSgE,tagitapp,tagitapp:tagIt,LightningComponent,,,,,,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,,,,,,,one:one,Service,one:recordHomeFlexipage2Wrapper,componentTracker,system,28,default,component,/lightning/r/Account/001B000001NnfQlIAJ/view,,,,,,,,,,,,,,,
2021-11-16T23:01:16.649Z,ApexExecution,4fVd6fZIce42TP-qbx5li-,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1R000001MSgE,tagitapp,TagHelper,ApexClass,,,,,1WpY7gxxy/05Da7w,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,156,58,39,,,,,,,,,,,,,,,,,,,2,0,VF- /apex/tagitapp__TagitVF,V,1,,,,
2021-11-16T22:58:24.487Z,ApexExecution,TID:82420900000d070d48,00DB0000000KhOB,Salesforce.com Inc,Free,Developer Edition,US,en_US,America/Los_Angeles,GS0,Production,,005-FNjri6G/P0vCTjdUXLagRKUzIqaz7EWp+Rf1XcvQ1ZM=,Standard,,0333h000000HNlV,04t1R000001MSgE,tagitapp,TagHelper,ApexClass,,,,,D1y6r73UCR38zMSA,ZwusmvGggXPIxWaA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",US,America/Chicago,,,,,,,,,59,35,15,,,,,,,,,,,,,,,,,,,2,0,TagHelper.getUserRecordAccess,L,1,,,,
